"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central African Republic","CAF","Rural population","SP.RUR.TOTL","1199833","1209392","1219522","1230329","1241803","1254064","1267278","1281226","1293930","1304883","1313224","1318621","1321680","1323877","1326962","1332257","1346487","1368847","1394120","1422632","1454346","1489958","1528896","1568681","1606041","1638886","1665996","1688525","1709461","1736841","1773154","1816166","1864703","1917002","1970388","2022829","2073865","2123868","2173051","2221731","2270207","2318073","2364848","2410834","2456469","2501010","2545255","2588535","2627864","2659224","2680140","2689403","2689000","2683755","2680335","2683456","2694569","2712576","2736177","2763121","",
"Canada","CAN","Rural population","SP.RUR.TOTL","5540868","5541960","5492247","5441341","5390322","5334312","5284252","5275481","5256115","5223145","5191541","5251122","5338874","5431539","5535266","5644413","5744499","5802629","5851095","5899610","5966378","6028261","6059713","6079070","6095759","6110627","6133043","6209133","6284808","6393132","6484711","6555149","6557450","6553895","6550090","6541741","6528757","6477628","6415815","6352957","6297326","6263120","6307139","6339248","6373758","6409413","6444858","6447564","6457255","6470872","6482352","6491507","6548144","6603314","6655859","6691082","6752474","6815329","6888668","6960780","",
"Central Europe and the Baltics","CEB","Rural population","SP.RUR.TOTL","50720764","50536773","50348488","50171639","50000758","49742764","49510175","49426266","49295856","49091160","48793751","48396177","48024446","47658493","47314974","47012972","46707268","46339977","45887515","45447656","45060451","44818701","44644943","44450473","44239869","44012261","43785677","43556426","43287672","43009719","42755874","42416617","42179934","42184309","42207856","42177731","42110439","42058345","42019601","41982938","41778237","41454011","41119861","40941382","40780148","40611197","40443275","40210586","39979949","39838803","39652932","39519532","39410425","39310807","39210929","39092740","38947818","38785310","38621819","38455076","",
"Switzerland","CHE","Rural population","SP.RUR.TOTL","1549119","1562740","1586363","1603842","1613632","1615391","1615259","1618201","1621354","1622399","1616732","1615981","1624969","1633603","1639000","1634860","1622138","1613257","1610009","1609847","1612903","1622449","1635792","1646672","1656461","1667607","1680210","1694724","1711247","1729128","1751004","1776902","1800314","1820462","1838809","1854939","1866968","1875299","1884719","1897587","1912232","1924949","1937671","1950193","1961798","1972472","1982943","1998781","2022351","2045843","2065228","2086420","2106933","2129601","2153942","2176779","2198922","2217678","2231010","2242404","",
"Channel Islands","CHI","Rural population","SP.RUR.TOTL","67074","67966","68912","69911","70942","72004","73079","74168","75268","76367","77459","78585","79862","81085","82215","83203","84031","84720","85361","86066","86916","87825","88529","89351","90261","91214","92222","93399","94557","95612","96512","97242","97876","98422","98995","99690","100457","101156","101916","102626","103220","103630","103884","104119","104475","105048","105874","106905","108050","109155","110130","110942","111723","112452","113237","114178","115294","116524","117791","118978","",
"Chile","CHL","Rural population","SP.RUR.TOTL","2615895","2602414","2590964","2577815","2562309","2544422","2523714","2500670","2475724","2449931","2423576","2397887","2371534","2344818","2317487","2289421","2260881","2232070","2202752","2172754","2141927","2110475","2087363","2100683","2114640","2129817","2146282","2163836","2182312","2201315","2220712","2240483","2254989","2245693","2235023","2222563","2208382","2192501","2175216","2156453","2136730","2115932","2100770","2113551","2125987","2138870","2151926","2165456","2178924","2192334","2205503","2217617","2229158","2241070","2254855","2271326","2290337","2310652","2329158","2341903","",
"China","CHN","Rural population","SP.RUR.TOTL","558984648","550002064","551084460","561172774","570563019","585836641","603653090","620353282","637762514","656497738","675928190","695661123","713898765","730387430","744661478","756942270","768187399","778161684","785011465","788605339","791287529","793935216","797806157","802837860","806618745","810625110","815464944","821058949","826508924","831145763","835019382","836478966","836448460","835478607","833998460","831819843","828956742","825589438","821328874","815968942","809645853","800082679","788406300","775926016","762817902","749352182","735901746","722214159","708173810","693852712","679206337","665196496","651507733","637792141","624030741","610192900","596465626","582840458","568902350","554781038","",
"Cote d'Ivoire","CIV","Rural population","SP.RUR.TOTL","2884160","2944790","3008694","3073184","3134701","3191267","3278766","3366044","3456660","3555369","3665170","3786925","3918895","4059087","4204037","4345750","4458466","4568417","4674772","4871796","5074937","5284332","5499154","5717777","5937924","6158208","6377424","6595865","6811288","7019254","7233034","7452553","7676178","7901804","8126569","8348040","8566341","8781232","8988544","9180091","9353656","9510500","9652591","9785559","9916658","10052033","10192922","10338856","10490744","10649401","10814705","10987262","11167477","11354524","11547148","11742209","11939706","12139068","12339325","12539644","",
"Cameroon","CMR","Rural population","SP.RUR.TOTL","4455411","4519324","4585788","4654686","4725760","4798969","4874175","4951485","5030896","5112564","5196250","5245765","5292740","5337314","5378936","5417512","5466408","5563175","5662507","5764629","5869367","5976562","6085574","6196273","6308444","6421952","6536262","6659591","6810166","6960369","7108459","7254223","7397578","7538485","7675955","7810065","7940451","8068035","8194071","8320389","8448584","8579470","8712386","8847672","8985203","9125435","9268014","9412716","9558949","9706164","9853501","10000780","10147706","10293982","10439098","10582585","10724114","10863842","11000836","11135124","",
"Congo, Dem. Rep.","COD","Rural population","SP.RUR.TOTL","11847891","12115620","12391980","12679560","12981466","13299425","13634816","13986317","14349203","14717459","15086720","15454513","15822224","16196037","16583480","16989647","17418722","17867486","18326222","18780873","19223024","19651013","20072031","20496219","20937045","21361194","21807026","22275032","22783645","23357737","24009322","24752630","25571491","26415728","27215036","27923430","28523784","29039013","29511727","30004334","30561318","31194279","31890437","32641873","33433394","34251599","35094791","35966551","36865328","37787008","38729919","39689944","40665644","41654276","42652338","43657626","44667920","45680986","46691418","47694888","",
